,Function 0,Function 1,Function 2,Function 3,Function 4,Function 5,Function 6,Function 7
hwp_iomux->pad_spi_flash_clk_cfg_reg,spi_flash_clk,,,,,,,
hwp_iomux->pad_spi_flash_cs_cfg_reg,spi_flash_cs,,,,,,,
hwp_iomux->pad_spi_flash_sel_cfg_reg,spi_flash_sel,,,,,,,
hwp_iomux->pad_spi_flash_sio_0_cfg_reg,spi_flash_sio_0,,,,,,,
hwp_iomux->pad_spi_flash_sio_1_cfg_reg,spi_flash_sio_1,x--gpio_29,,,,,,
hwp_iomux->pad_spi_flash_sio_2_cfg_reg,spi_flash_sio_2,x--gpio_30,,,,,,
hwp_iomux->pad_spi_flash_sio_3_cfg_reg,spi_flash_sio_3,x--gpio_31,,,,,,
hwp_iomux->pad_sdmmc1_clk_cfg_reg,sdmmc1_clk,,x--camera_ref_clk,,,,,x--spi_2_cs_0
hwp_iomux->pad_sdmmc1_cmd_cfg_reg,sdmmc1_cmd,gpio_24,x--camera_rst_l,x--i2c_m3_scl,,,,
hwp_iomux->pad_sdmmc1_data_0_cfg_reg,sdmmc1_data_0,gpio_25,x--camera_pwdn,x--i2c_m3_sda,,x--uart_2_rxd,x--uart_3_cts,
hwp_iomux->pad_sdmmc1_data_1_cfg_reg,sdmmc1_data_1,gpio_26,x--spi_camera_si_0,x--spi_camera_si_1,,x--uart_2_txd,x--uart_3_rts,x--spi_2_clk
hwp_iomux->pad_sdmmc1_data_2_cfg_reg,sdmmc1_data_2,gpio_27,x--spi_camera_si_1,x--spi_camera_si_0,x--spi_camera_ssn,x--uart_2_cts,x--uart_3_rxd,x--spi_2_dio_0
hwp_iomux->pad_sdmmc1_data_3_cfg_reg,sdmmc1_data_3,gpio_28,x--spi_camera_sck,,,x--uart_2_rts,x--uart_3_txd,x--spi_2_di_1
hwp_iomux->pad_aud_da_sync_cfg_reg,aud_da_sync,i2s1_bck,x--gpio_27,,,,,
hwp_iomux->pad_aud_da_d1_cfg_reg,aud_da_d1,i2s1_lrck,x--gpio_28,,,,,
hwp_iomux->pad_aud_da_d0_cfg_reg,aud_da_d0,i2s1_sdat_i,x--gpio_29,,,,,
hwp_iomux->pad_aud_ad_sync_cfg_reg,aud_ad_sync,i2s1_sdat_o,x--gpio_30,,,,,
hwp_iomux->pad_aud_ad_d0_cfg_reg,aud_ad_d0,,x--gpio_31,,,,,
hwp_iomux->pad_aud_sclk_cfg_reg,aud_sclk,,,,,,,
hwp_iomux->pad_adi_sda_cfg_reg,adi_sda,,,,,,,
hwp_iomux->pad_adi_sync_cfg_reg,adi_sync,,,,,,,
hwp_iomux->pad_adi_scl_cfg_reg,adi_scl,,,,,,,
hwp_iomux->pad_spi_lcd_sio_cfg_reg,spi_lcd_sio,x--gpio_0,x--spi_flash1_clk,,,,,x--debug_bus_5
hwp_iomux->pad_spi_lcd_sdc_cfg_reg,spi_lcd_sdc,x--gpio_1,x--spi_flash1_cs,i2c_m3_sda,,,,x--debug_bus_6
hwp_iomux->pad_spi_lcd_clk_cfg_reg,spi_lcd_clk,x--gpio_2,x--spi_flash1_sio_0,,,,,x--debug_bus_7
hwp_iomux->pad_spi_lcd_cs_cfg_reg,spi_lcd_cs,x--gpio_3,x--spi_flash1_sio_1,,,,,x--debug_bus_8
hwp_iomux->pad_spi_lcd_select_cfg_reg,spi_lcd_select,x--gpio_4,x--spi_flash1_sio_2,,,,,x--debug_bus_9
hwp_iomux->pad_lcd_fmark_cfg_reg,lcd_fmark,gpio_5,x--spi_flash1_sio_3,,x--uart_2_txd,,,x--debug_bus_10
hwp_iomux->pad_lcd_rstb_cfg_reg,lcd_rstb,x--gpio_6,,i2c_m3_scl,x--uart_2_rxd,,,x--debug_bus_11
hwp_iomux->pad_i2c_m1_scl_cfg_reg,i2c_m1_scl,,,,x--gpio_16,,,x--debug_bus_0
hwp_iomux->pad_i2c_m1_sda_cfg_reg,i2c_m1_sda,,,,x--gpio_17,,,x--debug_bus_1
hwp_iomux->pad_camera_rst_l_cfg_reg,camera_rst_l,x--i2c_m1_scl,,,gpio_18,,,x--debug_bus_2
hwp_iomux->pad_camera_pwdn_cfg_reg,camera_pwdn,x--i2c_m1_sda,,,gpio_19,,,x--debug_bus_3
